Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age
01079,31778.0,24201.0,811.0,811.0,0.0,0.0,0.0,0.0,0.0,32.0,211.0,31.0,16.0,136.0,0.0,0.0,0.0,42.8,43.3,42.4
01080,51023.0,23489.0,2452.0,2194.0,53.0,0.0,0.0,0.0,205.0,127.0,661.0,51.0,128.0,211.0,37.0,0.0,9.0,33.5,30.5,38.7
01081,51182.0,25679.0,1823.0,1805.0,2.0,0.0,0.0,0.0,12.0,42.0,445.0,54.0,166.0,166.0,49.0,13.0,6.0,43.5,44.1,43.2
01082,52178.0,27773.0,10612.0,10105.0,72.0,11.0,50.0,39.0,311.0,437.0,2587.0,393.0,798.0,1136.0,437.0,41.0,7.0,43.2,40.8,45.0
01083,45954.0,22559.0,3148.0,3004.0,0.0,0.0,132.0,0.0,12.0,41.0,1045.0,0.0,183.0,372.0,10.0,0.0,0.0,36.3,34.3,43.4
01084,68750.0,50727.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,7.0,4.0,25.0,51.0,3.0,7.0,61.5,62.6,60.5
01085,63283.0,29597.0,41479.0,38721.0,689.0,47.0,935.0,39.0,608.0,3155.0,6989.0,851.0,3022.0,5648.0,2272.0,477.0,258.0,39.0,36.9,41.9
01086,-666666666.0,3293.0,690.0,637.0,53.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,19.2,19.0,19.3
01088,61875.0,34560.0,433.0,402.0,23.0,0.0,0.0,0.0,8.0,13.0,107.0,32.0,66.0,80.0,30.0,13.0,0.0,53.1,54.0,50.3
01089,50649.0,28438.0,28575.0,24395.0,811.0,200.0,1358.0,0.0,487.0,2924.0,5078.0,760.0,2151.0,3455.0,1641.0,407.0,158.0,39.1,37.7,41.0
01092,77150.0,40211.0,1191.0,1189.0,2.0,0.0,0.0,0.0,0.0,1.0,311.0,11.0,137.0,275.0,16.0,0.0,0.0,46.8,46.4,47.3
01093,84167.0,48793.0,289.0,284.0,0.0,0.0,0.0,0.0,5.0,0.0,53.0,0.0,17.0,81.0,48.0,10.0,8.0,54.1,58.1,54.0
01094,18454.0,29174.0,347.0,347.0,0.0,0.0,0.0,0.0,0.0,7.0,84.0,15.0,36.0,35.0,19.0,0.0,0.0,53.7,53.1,54.1
01095,95679.0,40989.0,14569.0,13667.0,382.0,0.0,121.0,0.0,352.0,573.0,2142.0,370.0,895.0,2659.0,1526.0,326.0,68.0,47.6,47.8,47.4
01096,73589.0,33768.0,2564.0,2535.0,0.0,0.0,9.0,10.0,10.0,17.0,447.0,50.0,189.0,404.0,267.0,26.0,38.0,44.3,40.9,46.6
01097,31250.0,9374.0,78.0,70.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,19.7,19.6,43.1
01098,77083.0,41124.0,1117.0,1070.0,5.0,0.0,9.0,3.0,22.0,13.0,244.0,10.0,83.0,189.0,103.0,20.0,12.0,50.0,50.0,50.1
01103,16760.0,21928.0,2430.0,1303.0,373.0,5.0,66.0,0.0,64.0,1476.0,176.0,28.0,119.0,125.0,154.0,58.0,71.0,33.3,31.6,35.2
01104,28590.0,18983.0,23183.0,13649.0,2185.0,47.0,417.0,5.0,921.0,13253.0,4064.0,1206.0,1303.0,1166.0,549.0,53.0,73.0,35.2,35.0,35.7
01105,16455.0,13855.0,11576.0,5041.0,2589.0,193.0,32.0,0.0,485.0,7388.0,1644.0,584.0,319.0,402.0,214.0,69.0,45.0,30.6,31.4,30.2
01106,105822.0,52705.0,15983.0,14462.0,155.0,6.0,955.0,0.0,346.0,642.0,1182.0,200.0,723.0,3307.0,2348.0,1151.0,387.0,46.4,46.3,46.6
