Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age,Median House Construction/Year,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Cost,Poverty,Poverty Male,Poverty Female,Family Poverty
33130,22813.0,19126.0,24338.0,21423.0,1942.0,14.0,281.0,0.0,226.0,21593.0,4780.0,268.0,1205.0,2872.0,678.0,290.0,116.0,34.0,33.7,34.4,1960.0,799.0,876.0,168100.0,1458.0,9631.0,4676.0,4955.0,1877.0
33131,78094.0,60035.0,14540.0,12684.0,745.0,0.0,173.0,0.0,252.0,8187.0,651.0,138.0,756.0,4574.0,2373.0,1084.0,318.0,31.9,33.9,30.4,2002.0,1823.0,1879.0,365000.0,2830.0,1796.0,735.0,1061.0,272.0
33132,57843.0,43323.0,9976.0,8168.0,1001.0,12.0,345.0,37.0,298.0,5326.0,1193.0,294.0,574.0,2209.0,1021.0,851.0,100.0,34.8,35.6,33.8,2003.0,1506.0,1614.0,272100.0,2625.0,1490.0,756.0,734.0,107.0
33133,55134.0,43926.0,33141.0,28380.0,3589.0,33.0,316.0,0.0,238.0,17402.0,3985.0,387.0,1787.0,6600.0,2543.0,1797.0,686.0,39.9,36.7,43.1,1972.0,1096.0,1221.0,419800.0,2712.0,5875.0,2681.0,3194.0,1021.0
33134,52316.0,36589.0,39367.0,36803.0,858.0,0.0,760.0,0.0,392.0,29605.0,5557.0,410.0,2995.0,6762.0,3385.0,2179.0,1037.0,45.2,43.5,46.6,1959.0,1017.0,1135.0,357500.0,2658.0,4844.0,2056.0,2788.0,677.0
33135,21576.0,13968.0,35470.0,32623.0,1318.0,9.0,297.0,0.0,384.0,33473.0,8610.0,815.0,1836.0,2430.0,508.0,397.0,79.0,44.4,43.5,45.1,1951.0,756.0,842.0,204800.0,1754.0,11782.0,5215.0,6567.0,2278.0
33136,19129.0,13387.0,13248.0,4797.0,7387.0,18.0,286.0,0.0,213.0,4992.0,2313.0,311.0,578.0,1137.0,261.0,54.0,75.0,33.8,33.7,33.9,1969.0,620.0,722.0,105600.0,1274.0,5682.0,2700.0,2982.0,777.0
33137,48959.0,30012.0,20221.0,12924.0,5575.0,45.0,492.0,0.0,238.0,9449.0,3337.0,385.0,1179.0,2855.0,1378.0,469.0,109.0,36.0,36.3,35.5,1979.0,1002.0,1152.0,234900.0,1891.0,4224.0,1989.0,2235.0,635.0
33138,39949.0,26653.0,29292.0,15175.0,12524.0,71.0,165.0,12.0,425.0,7399.0,4518.0,584.0,1507.0,3298.0,1778.0,870.0,403.0,39.2,39.6,38.7,1959.0,801.0,897.0,318200.0,2388.0,8181.0,3943.0,4238.0,1373.0
33139,46612.0,47650.0,38066.0,30236.0,1682.0,78.0,827.0,22.0,624.0,18185.0,4665.0,411.0,2804.0,7545.0,4013.0,1850.0,827.0,38.1,38.3,37.8,1968.0,1036.0,1124.0,305300.0,2374.0,6672.0,3165.0,3507.0,644.0
33140,53699.0,51378.0,22197.0,18489.0,887.0,31.0,870.0,9.0,208.0,8902.0,2598.0,192.0,1220.0,4225.0,2216.0,1469.0,884.0,40.0,38.6,41.6,1965.0,1217.0,1331.0,459500.0,3199.0,2220.0,1079.0,1141.0,343.0
33141,37317.0,28096.0,36953.0,25278.0,1634.0,38.0,572.0,185.0,765.0,24153.0,6288.0,999.0,2810.0,5313.0,1760.0,1149.0,534.0,40.3,40.3,40.3,1965.0,924.0,1033.0,215000.0,2109.0,6692.0,2587.0,4105.0,1373.0
33142,22260.0,11074.0,54178.0,26010.0,24759.0,123.0,11.0,0.0,462.0,30831.0,13261.0,1076.0,1398.0,1927.0,505.0,109.0,13.0,36.6,35.5,37.5,1962.0,687.0,789.0,117000.0,1359.0,20215.0,8992.0,11223.0,3606.0
33143,63268.0,46739.0,31129.0,25923.0,3126.0,156.0,909.0,2.0,772.0,16226.0,3153.0,272.0,2025.0,6308.0,2414.0,1519.0,834.0,39.8,38.7,40.5,1971.0,999.0,1131.0,390500.0,2658.0,3267.0,1237.0,2030.0,384.0
33144,35968.0,16975.0,26009.0,25386.0,129.0,0.0,38.0,0.0,144.0,24651.0,4425.0,744.0,1354.0,2390.0,648.0,226.0,117.0,45.1,43.0,47.6,1960.0,943.0,1076.0,214000.0,1828.0,4827.0,2112.0,2715.0,1095.0
33145,37167.0,22055.0,30774.0,27817.0,480.0,32.0,405.0,0.0,491.0,26615.0,6165.0,428.0,1831.0,4844.0,1163.0,672.0,195.0,44.3,41.9,46.4,1955.0,1076.0,1220.0,247000.0,2031.0,5979.0,2526.0,3453.0,1038.0
33146,111838.0,38959.0,15383.0,13851.0,696.0,0.0,450.0,0.0,280.0,6877.0,545.0,43.0,433.0,2519.0,1174.0,954.0,375.0,22.7,22.0,23.5,1959.0,1760.0,1892.0,672500.0,3409.0,633.0,375.0,258.0,58.0
33147,28258.0,13152.0,43414.0,15600.0,26215.0,71.0,63.0,0.0,712.0,17380.0,9942.0,978.0,1872.0,1752.0,580.0,125.0,62.0,36.4,34.6,38.1,1958.0,715.0,834.0,119000.0,1353.0,13844.0,5947.0,7897.0,2533.0
33149,121624.0,78948.0,12560.0,11895.0,40.0,32.0,361.0,0.0,174.0,7101.0,422.0,51.0,453.0,3124.0,1559.0,947.0,450.0,40.9,42.3,39.0,1979.0,2001.0,2001.0,929300.0,4001.0,679.0,332.0,347.0,140.0
33150,25069.0,12865.0,27227.0,6377.0,20121.0,4.0,231.0,0.0,205.0,6068.0,4836.0,572.0,1112.0,1362.0,597.0,149.0,78.0,33.3,32.7,34.2,1958.0,628.0,750.0,128600.0,1314.0,10842.0,4832.0,6010.0,1998.0
33154,60347.0,45325.0,14209.0,11989.0,320.0,210.0,101.0,0.0,165.0,5365.0,1516.0,193.0,885.0,3103.0,1107.0,558.0,377.0,42.6,41.8,44.1,1967.0,1366.0,1450.0,414300.0,2701.0,1514.0,725.0,789.0,321.0
33155,54725.0,25748.0,46977.0,44730.0,456.0,11.0,864.0,0.0,754.0,38491.0,6905.0,1210.0,2699.0,5875.0,2435.0,1299.0,468.0,42.1,39.8,44.6,1958.0,1165.0,1388.0,259900.0,1937.0,5265.0,2337.0,2928.0,898.0
