ZIP,latgym,longym,Gym,Address,UserRating
33015.0,na,na,Keep It in the Heart Holistic Center,"8100 Oak Lane #405, Miami Lakes",na
33015.0,na,na,Urban Bliss Yoga Teacher Training,"17690 NW, Northwest 78th Avenue, Hialeah",na
33015.0,na,na,The planet circle fitness,"17671 Northwest 78th Avenue, Hialeah",na
33015.0,na,na,Max Rep Inc,"7602 Northwest 186th Street, Hialeah",na
33015.0,na,na,Beauties & Beasts Fitness Center,Hialeah,na
33015.0,na,na,Florida Warriors Martial Arts Academy,"18505 Northwest 75th Place, Hialeah",na
33015.0,na,na,Mixed Martial Arts,Hialeah,na
33015.0,na,na,Cancha Miami Lakes,"3020010090010, Hialeah",na
33015.0,na,na,Gimnasio (Fisioterapia),"15330 Northwest 79th Avenue, Miami Lakes",na
33015.0,na,na,Fort Training,"6187 Northwest 167th Street, Hialeah",na
33015.0,25.9331397,-80.29993259999999,BURN IT UP FIT,"5941 Northwest 176th Street #14, Hialeah",3
33015.0,na,na,Parque trotar,"near, Oak Lane, Miami Lakes",na
33014.0,25.911199,-80.312303,Shula's Athletic Club,"15150 Bull Run Road, Miami Lakes",130
33014.0,25.9111789,-80.3123834,Don Shula's Athletic Club,"15150 Bull Run Road, Hialeah",29
33014.0,25.920746,-80.292453,NonStop Crossfit,"16251 Northwest 57th Avenue, Miami Lakes",22
33014.0,25.9218426,-80.29182399999999,Rise Health & Fitness,"16357 Northwest 57th Avenue, Hialeah",93
33014.0,25.9152354,-80.3271426,Orangetheory Fitness,"15490-B Northwest 77th Court, Miami Lakes",83
33014.0,25.8977101,-80.3144212,Solid Bodies Inc,"1550 West 84th Street # 28, Hialeah",1
33014.0,na,na,AMNA Healthcare Services,"6625 Miami Lakes Drive # 362, Hialeah",na
33014.0,25.9130089,-80.3010615,Lighthouse Yoga & Wellness,"6175, #329, Northwest 153rd Street, Miami Lakes",19
33014.0,25.9077081,-80.3012526,CrossFit Miami Lakes,"14660 Northwest 60th Avenue, Miami Lakes",23
33014.0,25.8969255,-80.3156755,Fit 4 Life Gym,"1550 West 84th Street #29, Hialeah",24
33014.0,25.9028545,-80.33062199999999,Ultra Body Fitness,"14211 Commerce Way #600, Miami Lakes",5
33014.0,25.8944126,-80.2882365,Scorpius Elite Fitness,"7875 West 2nd Court #1, Hialeah",21
33014.0,na,na,Keep It in the Heart Holistic Center,"8100 Oak Lane #405, Miami Lakes",na
33014.0,na,na,ID Life Miami,"17970 Northwest 67th Avenue, Hialeah",na
33014.0,25.8920426,-80.3257742,Solid Bodies Gym,"2079 West 76th Street, Hialeah",79
33014.0,25.9246611,-80.27971409999999,Rare Breed Fitness,"4838 Northwest 167th Street, Miami Gardens",23
33014.0,25.9089658,-80.3075338,Ultra Body Fitness Florida Inc,"6625 Miami Lakes Drive, Hialeah",2
33014.0,25.907948,-80.30890699999999,Miami Lakes Fencing Club,"14800 Northwest 67th Avenue, Miami Lakes",7
33014.0,na,na,Fort Training,"6187 Northwest 167th Street, Hialeah",na
33014.0,25.896873,-80.31512599999999,World Tiger and Crane Goju-Ryu Karate-Do Organization,"1550 W 84 St Bay 23-24, Hialeah",2
33014.0,25.9331397,-80.29993259999999,BURN IT UP FIT,"5941 Northwest 176th Street #14, Hialeah",3
33014.0,na,na,Gimnasio (Fisioterapia),"15330 Northwest 79th Avenue, Miami Lakes",na
33014.0,na,na,Gym Outdoors,"3220220050100, Miami Lakes",na
33014.0,na,na,Parque trotar,"near, Oak Lane, Miami Lakes",na
33013.0,25.865403,-80.29575899999999,LA Fitness,"630 West 49th Street, Hialeah",356
33013.0,25.8398693,-80.274335,Hialeah School Of Self Defense,"1982 East 4th Avenue, Hialeah",10
33013.0,25.865788,-80.293196,Planet Fitness,"502A West 49th Street, Hialeah",316
33013.0,na,na,Corporal Crossfit,Hialeah,na
33013.0,na,na,Парикиахер,Hialeah,na
33013.0,na,na,Парикмахер,"861 East 41st Street, Hialeah",na
33013.0,25.848068,-80.28293099999999,Primetime Fitness Center,"20 West 29th Street, Hialeah",30
33013.0,25.8480169,-80.28684439999999,gladiator sports fitness mma,"224 West 29th Street, Hialeah",4
33013.0,na,na,Fitness Zone,"401 East 65th Street, Hialeah",na
33012.0,25.865403,-80.29575899999999,LA Fitness,"630 West 49th Street, Hialeah",356
33012.0,25.8583046,-80.32050679999999,LA Fitness,"1901 West 39th Street, Hialeah",254
33012.0,25.8580684,-80.3136111,Pacheco's Physique Gym,"1545 West 40th Street, Hialeah",29
33012.0,25.8647264,-80.32532250000001,Caution Crossfit,"9905 Northwest 79th Avenue, Hialeah",41
33012.0,25.8538362,-80.3207472,Crunch Fitness - Hialeah,"3505 West 20th Avenue, Hialeah",110
33012.0,25.865788,-80.293196,Planet Fitness,"502A West 49th Street, Hialeah",316
33012.0,25.8709895,-80.3163055,Youfit Health Clubs,"5348 West 16th Avenue, Hialeah",296
33012.0,25.876742,-80.322576,Club Nutricion Herbalife,"1986 West 60th Street, Hialeah",7
33012.0,25.88527119999999,-80.2910346,Rising Sun Karate,"6831 West 4th Avenue, Hialeah",7
33012.0,na,na,Kogas Gym,"4443 West 10th Court, Hialeah",na
33012.0,25.8597361,-80.30791789999999,Live Strong Gym,"4192 West 12th Avenue, Hialeah",5
33012.0,25.8605951,-80.31421809999999,All Star Wellness Club,"1570 West 43rd Place #7, Hialeah",1
33012.0,25.860073,-80.31508869999999,Nutricell Group,"4232 West 16th Avenue, Hialeah",3
33012.0,na,na,The Headquarters Barbell Club,"1653 West 33rd Place, Hialeah",na
33012.0,na,na,Caution CrossFit and FitnessFacility,"9905 Northwest 79th Avenue, Hialeah Gardens",na
33012.0,25.860387,-80.3259204,Ser-Gym Miami,"9500 Northwest 79th Avenue, Hialeah Gardens",1
33012.0,25.8602672,-80.3260312,Pacho's Studio,"9500 Northwest 79th Avenue #9, Hialeah Gardens",12
33012.0,na,na,Grace Fitness,"8040 Northwest 95th Street #339, Hialeah Gardens",na
33012.0,na,na,DRM Fitness Studio,"8040 Northwest 95th Street #221, Hialeah Gardens",na
33012.0,25.8480169,-80.28684439999999,gladiator sports fitness mma,"224 West 29th Street, Hialeah",4
33012.0,25.848068,-80.28293099999999,Primetime Fitness Center,"20 West 29th Street, Hialeah",30
33012.0,25.8386197,-80.3000443,Infamous Fitness Studio,"900 West 19th Street, Hialeah",13
33011.0,25.8398693,-80.274335,Hialeah School Of Self Defense,"1982 East 4th Avenue, Hialeah",10
33011.0,25.8208999,-80.2799789,Prime Fitness Inc,"95 Hook Square, Miami Springs",22
33011.0,25.8231717,-80.2724755,Awesome Gym,"465 Hialeah Drive, Hialeah",34
33011.0,na,na,SPRINGS ATHLETICS,"260 Westward Drive, Miami Springs",na
33011.0,na,na,Corporal Crossfit,Hialeah,na
33011.0,25.8207317,-80.2872972,Ashtanga Yoga Phulla,"385 Westward Drive, Miami",1
33011.0,25.838766,-80.2541569,"Fitness International Associates, Corp","7130 Northwest 35th Avenue, Miami",4
33011.0,25.8210967,-80.2830496,Bodies By Mari,"70 Westward Drive, Miami Springs",6
33011.0,na,na,Bodies By Marie Elite,"70 Westward Drive, Miami Springs",na
33011.0,25.8213976,-80.2837333,LWC Pilates & Yoga Studio,"135 Westward Drive suite 200, Miami Springs",7
33011.0,25.8207482,-80.28729899999999,The Yoga Room,"385 Westward Drive, Miami Springs",2
33011.0,25.8235416,-80.2618413,Muscle Unlimited Fitness Center,"975 Hialeah Drive, Hialeah",32
33011.0,na,na,Gym Open,Hialeah,na
33011.0,25.8108282,-80.2889971,nutrihealth.com,"733 Curtiss Parkway, Miami Springs",3
33011.0,na,na,Cancha Basquet,"840 Southeast 9th Court, Hialeah",na
33011.0,25.8386197,-80.3000443,Infamous Fitness Studio,"900 West 19th Street, Hialeah",13
33011.0,25.848068,-80.28293099999999,Primetime Fitness Center,"20 West 29th Street, Hialeah",30
33011.0,25.8480169,-80.28684439999999,gladiator sports fitness mma,"224 West 29th Street, Hialeah",4
33010.0,25.8398693,-80.274335,Hialeah School Of Self Defense,"1982 East 4th Avenue, Hialeah",10
33010.0,25.8208999,-80.2799789,Prime Fitness Inc,"95 Hook Square, Miami Springs",22
33010.0,25.8231717,-80.2724755,Awesome Gym,"465 Hialeah Drive, Hialeah",34
33010.0,na,na,Corporal Crossfit,Hialeah,na
33010.0,na,na,SPRINGS ATHLETICS,"260 Westward Drive, Miami Springs",na
33010.0,25.8207317,-80.2872972,Ashtanga Yoga Phulla,"385 Westward Drive, Miami",1
33010.0,25.838766,-80.2541569,"Fitness International Associates, Corp","7130 Northwest 35th Avenue, Miami",4
33010.0,25.848068,-80.28293099999999,Primetime Fitness Center,"20 West 29th Street, Hialeah",30
33010.0,25.8480169,-80.28684439999999,gladiator sports fitness mma,"224 West 29th Street, Hialeah",4
33010.0,25.8386197,-80.3000443,Infamous Fitness Studio,"900 West 19th Street, Hialeah",13
33010.0,25.8213976,-80.2837333,LWC Pilates & Yoga Studio,"135 Westward Drive suite 200, Miami Springs",7
33010.0,25.8210967,-80.2830496,Bodies By Mari,"70 Westward Drive, Miami Springs",6
33010.0,na,na,Bodies By Marie Elite,"70 Westward Drive, Miami Springs",na
33010.0,25.8207482,-80.28729899999999,The Yoga Room,"385 Westward Drive, Miami Springs",2
33010.0,25.8235416,-80.2618413,Muscle Unlimited Fitness Center,"975 Hialeah Drive, Hialeah",32
33010.0,na,na,Gym Open,Hialeah,na
33010.0,na,na,Парикиахер,Hialeah,na
33010.0,na,na,Парикмахер,"861 East 41st Street, Hialeah",na
33092.0,na,na,Baby Power Forever Kids Homestead,"13473 Southwest 288th Street, Homestead",na
33092.0,25.50081,-80.41312479999999,Workout Anytime Homestead,"28600 Southwest 137th Avenue, Homestead",80
33092.0,25.5076655,-80.39665839999999,Empire Fitness Club,"27950 Southwest 127th Avenue, Homestead",14
33092.0,25.5003056,-80.40142540000001,American Tactical Fitness,"16300 Southwest 137th Avenue #115, Miami",3
