,,,North,0.021399901,,South,-0.021399901,,East,,0.023518703,West,,-0.023518703,NE,0.021399901,0.023518703,SW,-0.021399901,-0.023518703,SE,-0.021399901,0.023518703,NW,0.021399901,-0.023518703
zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi
33166,25.8235041,-80.3101684,33166,25.844904,-80.3101684,33166,25.8021042,-80.3101684,33166,25.8235041,-80.2866497,33166,25.8235041,-80.3336871,33166,25.844904,-80.2866497,33166,25.8021042,-80.3336871,33166,25.8021042,-80.2866497,33166,25.844904,-80.3336871
33167,25.8830363,-80.2377078,33167,25.9044362,-80.2377078,33167,25.8616364,-80.2377078,33167,25.8830363,-80.2141891,33167,25.8830363,-80.2612265,33167,25.9044362,-80.2141891,33167,25.8616364,-80.2612265,33167,25.8616364,-80.2141891,33167,25.9044362,-80.2612265
33168,25.8897406,-80.2070328,33168,25.9111405,-80.2070328,33168,25.8683407,-80.2070328,33168,25.8897406,-80.1835141,33168,25.8897406,-80.2305515,33168,25.9111405,-80.1835141,33168,25.8683407,-80.2305515,33168,25.8683407,-80.1835141,33168,25.9111405,-80.2305515
33169,25.9400585,-80.2153998,33169,25.9614584,-80.2153998,33169,25.9186586,-80.2153998,33169,25.9400585,-80.1918811,33169,25.9400585,-80.2389185,33169,25.9614584,-80.1918811,33169,25.9186586,-80.2389185,33169,25.9186586,-80.1918811,33169,25.9614584,-80.2389185
33172,25.7858514,-80.360297,33172,25.8072513,-80.360297,33172,25.7644515,-80.360297,33172,25.7858514,-80.3367783,33172,25.7858514,-80.3838157,33172,25.8072513,-80.3367783,33172,25.7644515,-80.3838157,33172,25.7644515,-80.3367783,33172,25.8072513,-80.3838157
33173,25.7038331,-80.360297,33173,25.725233,-80.360297,33173,25.6824332,-80.360297,33173,25.7038331,-80.3367783,33173,25.7038331,-80.3838157,33173,25.725233,-80.3367783,33173,25.6824332,-80.3838157,33173,25.6824332,-80.3367783,33173,25.725233,-80.3838157
33174,25.7616792,-80.3491599,33174,25.7830791,-80.3491599,33174,25.7402793,-80.3491599,33174,25.7616792,-80.3256412,33174,25.7616792,-80.3726786,33174,25.7830791,-80.3256412,33174,25.7402793,-80.3726786,33174,25.7402793,-80.3256412,33174,25.7830791,-80.3726786
33175,25.7357116,-80.3992652,33175,25.7571115,-80.3992652,33175,25.7143117,-80.3992652,33175,25.7357116,-80.3757465,33175,25.7357116,-80.4227839,33175,25.7571115,-80.3757465,33175,25.7143117,-80.4227839,33175,25.7143117,-80.3757465,33175,25.7571115,-80.4227839
33176,25.6624457,-80.3547286,33176,25.6838456,-80.3547286,33176,25.6410458,-80.3547286,33176,25.6624457,-80.3312099,33176,25.6624457,-80.3782473,33176,25.6838456,-80.3312099,33176,25.6410458,-80.3782473,33176,25.6410458,-80.3312099,33176,25.6838456,-80.3782473
33177,25.595058,-80.3992652,33177,25.6164579,-80.3992652,33177,25.5736581,-80.3992652,33177,25.595058,-80.3757465,33177,25.595058,-80.4227839,33177,25.6164579,-80.3757465,33177,25.5736581,-80.4227839,33177,25.5736581,-80.3757465,33177,25.6164579,-80.4227839
33165,25.7327581,-80.3547286,33165,25.754158,-80.3547286,33165,25.7113582,-80.3547286,33165,25.7327581,-80.3312099,33165,25.7327581,-80.3782473,33165,25.754158,-80.3312099,33165,25.7113582,-80.3782473,33165,25.7113582,-80.3312099,33165,25.754158,-80.3782473
33193,25.6987264,-80.4604643,33193,25.7201263,-80.4604643,33193,25.6773265,-80.4604643,33193,25.6987264,-80.4369456,33193,25.6987264,-80.483983,33193,25.7201263,-80.4369456,33193,25.6773265,-80.483983,33193,25.6773265,-80.4369456,33193,25.7201263,-80.483983
33194,25.7143625,-80.610489,33194,25.7357624,-80.610489,33194,25.6929626,-80.610489,33194,25.7143625,-80.5869703,33194,25.7143625,-80.6340077,33194,25.7357624,-80.5869703,33194,25.6929626,-80.6340077,33194,25.6929626,-80.5869703,33194,25.7357624,-80.6340077
33247,25.8349354,-80.2413493,33247,25.8563353,-80.2413493,33247,25.8135355,-80.2413493,33247,25.8349354,-80.2178306,33247,25.8349354,-80.264868,33247,25.8563353,-80.2178306,33247,25.8135355,-80.264868,33247,25.8135355,-80.2178306,33247,25.8563353,-80.264868
